usename,span
成东日呀,哇！是心动的感觉！银尘打架的时候简直就像是在舞蹈有没有，这修长的五指，菱角分明的脸庞让我很是有点想入非非了！这是哪里下凡来的仙子，来来来，转发这只秀色可餐的银尘，愿大家立马脱单，并且每个都和银尘一样美[色]
卡布鲁1,麒零不愧是能忽悠一个村买酒的人，这见人说人话，见鬼说鬼话的功夫可谓一绝。不管三七二十一，上来就叫姐姐，看来长得好看的都是哥哥这句话反过来同样适用吼~
寒冬那个腊月天,怎么说呢，电影顺序不错，按书的顺序来的，虽然确实像动画，但是确实，爵迹就走的欧美路线的感觉。用民间来形容确实出戏。看预告想的最多二三十集，结果这么多集，根据书改编加人物确实有创新意思，像最好的我们就加了路星河，为了推进剧情，表示理解。虽然只看了3分钟，没有能评价的资格。但是，最喜欢的就是银尘和麒零基友情，郭敬明的小说不夸张的说全看完了。当时挺喜欢爵迹的盛大场景。虽然电影也有没还原的，但是特效真的很重要，这种大剧，真不是随便就能拍的，不是演员不合格，是特效的问题，挺心疼的，回去重温了，心疼特效。
这海米姓占,啥？？？电视剧？我以为是电影卧槽…我其实挺喜欢电影版的，那时候说第二部挺期待，看了预告没注意是电视剧以为还是电影，换了演员不说。感觉和小说偏差越来越大的感觉。我其实很喜欢郑元畅，但是还是觉得，他和银尘那种气质不是特别吻合…我很喜欢银尘的说[抓狂]希望不要太毁哦痛哭流涕。电影版的动画版形我觉得很好啊，因为是小说改编，再怎么样符合三次元的美感，那时候看了预告片看到真人的真的懵逼了一下…（完全不知道自己在说啥）…反正就是突然对这部剧兴趣不大了。[抓狂]那时候还期待电影第二部等吉尔伽美什呢…还是看一下电视剧看看情况吧…
RDDDDDDDDDDDDD,银尘是七度王爵，也是上任一度王爵吉尔枷美什的天之使徒，麒零是零度王爵，也就是最完美的容器，建议先看完原著，原著比这画面感强多了，郭敬明对细节的描写还是不错的
喜欢吃香肠の仲孙娅楠,请把全部资金都用于特效，演员演技好就可以不用太拼颜值的啊？这都是什么鬼啊，跟呢些普通的古偶有什么区别呢，毕竟你取了《爵迹》这个名字就要负责一点嘛，随随便便拍一个糊弄观众和读者，真的好吗？[鼓掌][鼓掌][鼓掌]
天使狗喵,不好看感觉特效和颜值都一般，不如爵迹一也没有好看帅哥了，银尘那么帅第一集第一眼就看到银尘变成这样子接受不了，你们可以去看看爵迹的电影
就果子,最近黄梦莹小姐姐是开启了霸屏模式吗~从《三生三世》的仙子素锦，到《逆流而上的你》里面的拜金女，再到《趁我们正年轻》的美女老板，到现在的灵术师，每部剧都让我印象深刻啊，这次也很期待不一样的小姐姐啊😍😍~
铭恩的小祖宗,没看过奶恩的古装造型，70萌萌的。颜值担当啊！！！而且这部剧一看就是良心剧，刚刚看几分钟就感觉动画和画质非常好！为铭恩而来，希望其他优秀的演员也能让我们耳目一新啊！
棠樾觅凰,演员都挺好的，只能说拍的时间很早，播出的很晚，后期特效不太到位，现在看着有点搞笑，尤其是苍雪之牙的特效，作为原著书粉，感觉当成另一个全新的故事看ok的，关于真正的爵迹，还是期待电影吧～
芝芝麻糊745,真心垃圾，银尘气质一毛都不剩
紫夜滢冰,爱奇艺现在怎么收藏不了了？
尚錦宏,麒零太丑了
芝芝麻糊745,郭导不给力啊
芝芝麻糊745,等电影等了2年了没出来，结果等了个三流演员的电视剧，哎
何乐乐妈,喜欢电影版，我的银尘我的凡[色]
罗宗莲1984,垃圾
温柔图v成都地图哈哈,不好看
倒影青坪,这好像跟小说呀不一样
Justin小媳妇a,还是忘不了吴亦凡的银尘
